SMET 1.1 ASCII
[HEADER]
station_id = ISEE2
station_name = Seegrube
latitude = 47.052267
longitude = 11.335489
altitude = 2180.0
source = LWD Tirol
nodata = -777
creation = 2025-11-11T16:47:53.218279900Z
fields = timestamp ISWR HS RH TA TSS TD
#units = ISO8601 W/m² cm % °C °C °C
[DATA]
2023-05-01T00:00:00 0 120,2 86 3,5 -0,78 1,384691979
2023-05-01T00:10:00 0 120,578 86,7 3,4 -0,75 1,399098255
2023-05-01T00:20:00 0 120,6 86 3,5 -0,75 1,384691979
2023-05-01T00:30:00 0 120,4 86,1 3,4 -0,66 1,302584218
2023-05-01T00:40:00 0 120,7 80,9 4,1 -0,27 1,123146602
2023-05-01T00:50:00 0 120,6 82 4,1 -0,54 1,310633843
2023-05-01T01:00:00 0 120,8 83,5 4 -0,68 1,464839479
2023-05-01T01:10:00 0 120,3 84,9 3,6 -0,43 1,303967225
2023-05-01T01:20:00 0 120,8 86,5 3,4 -0,15 1,366992659
2023-05-01T01:30:00 0 120,5 86,3 3,7 0 1,629692408
2023-05-01T01:40:00 0 120,8 87,4 3,5 0 1,609391151
2023-05-01T01:50:00 0 120,7 87,1 3,7 0 1,758301963
2023-05-01T02:00:00 0 120,6 86,9 3,7 0 1,72624771
2023-05-01T02:10:00 0 120,7 87,3 3,6 0 1,691869484
2023-05-01T02:20:00 0 120,7 87,7 3,6 0 1,755601852
2023-05-01T02:30:00 0 120,9 88,4 3,5 0 1,767951905
2023-05-01T02:40:00 0 120,6 89,2 3,5 0 1,893663779
2023-05-01T02:50:00 0 120,6 90 3,4 0 1,919610262
2023-05-01T03:00:00 0 120,7 91,6 3,3 0 2,066959357
2023-05-01T03:10:00 0 120,7 91,9 3,3 0 2,112684202
2023-05-01T03:20:00 0 120,6 93,1 3,1 0 2,095943124
2023-05-01T03:30:00 0 120,7 93,7 3,1 0 2,185815818
2023-05-01T03:40:00 0 120,4 92,5 3 0 1,906465694
2023-05-01T03:50:00 0 120,7 92,7 3,1 0 2,035743385
2023-05-01T04:00:00 0 120,3 92,9 3 0 1,966730181
2023-05-01T04:10:00 0 120,4 92,9 3 0 1,966730181
2023-05-01T04:20:00 0 120,4 90,8 3,1 0 1,746623119
2023-05-01T04:30:00 0 120,5 89,5 3,2 0 1,644419802
2023-05-01T04:40:00 0 120,3 89,5 3,3 0 1,743130098
