SMET 1.1 ASCII
[HEADER]
station_id = FSEE2
station_name = Schlicker Alm
latitude = 47.154432
longitude = 11.303207
altitude = 1645.0
source = LWD Tirol
nodata = -777
creation = 2025-11-11T02:15:09.840785100Z
fields = timestamp HS PSUM TA TD
#parameters = timestamp HS PSUM TA TD
#units = ISO8601 m mm K K
[DATA]
1991-12-30T23:00:00Z 1.025 0.00 282.53 272.53
1991-12-31T23:00:00Z 1.013 0.00 277.94 267.94
1992-01-01T23:00:00Z 1.004 0.00 286.80 276.80
1992-01-02T23:00:00Z 0.992 0.00 282.11 272.11
1992-01-03T23:00:00Z 0.970 0.00 288.66 278.66
1992-01-04T23:00:00Z 0.953 0.00 290.41 280.41
1992-01-05T23:00:00Z 0.955 0.00 286.66 276.66
1992-01-06T23:00:00Z 0.951 0.00 295.08 285.08
1992-01-07T23:00:00Z 0.944 0.00 281.21 271.21
1992-01-08T23:00:00Z 0.932 0.00 282.44 272.44
1992-01-09T23:00:00Z 0.926 0.00 282.51 272.51
1992-01-10T23:00:00Z 0.908 0.00 274.79 264.79
1992-01-11T23:00:00Z 0.888 0.00 286.10 276.10
1992-01-12T23:00:00Z 0.897 0.00 290.64 280.64
1992-01-13T23:00:00Z 0.890 0.00 283.30 273.30
1992-01-14T23:00:00Z 0.909 0.00 280.26 270.26
1992-01-15T23:00:00Z 0.904 0.00 289.02 279.02
1992-01-16T23:00:00Z 0.897 0.00 282.35 272.35
1992-01-17T23:00:00Z 0.894 0.00 283.17 273.17
1992-01-18T23:00:00Z 0.889 0.00 281.01 271.01
1992-01-19T23:00:00Z 0.927 0.00 275.09 265.09
1992-01-20T23:00:00Z 0.980 0.00 290.08 280.08
1992-01-21T23:00:00Z 0.949 0.00 278.19 268.19
1992-01-22T23:00:00Z 0.953 0.00 287.12 277.12
1992-01-23T23:00:00Z 0.949 0.00 285.20 275.20
1992-01-24T23:00:00Z 0.934 0.00 288.70 278.70
1992-01-25T23:00:00Z 0.913 0.00 285.54 275.54
1992-01-26T23:00:00Z 0.901 0.00 283.72 273.72
1992-01-27T23:00:00Z 0.905 0.00 278.65 268.65
1992-01-28T23:00:00Z 0.914 0.00 276.47 266.47
1992-01-29T23:00:00Z 0.918 0.00 286.29 276.29
1992-01-30T23:00:00Z 0.903 0.00 283.86 273.86
1992-01-31T23:00:00Z 0.910 0.00 273.17 263.17
